단원명,문제번호,문제,정답,해설
법정지상권 ,542,"토지 저당권 설정 당시 동일인 소유의 건물이 있다가 그 후 저당권 실행으로 토지가 낙찰되기 전에 건물이 제3자에게 양도된 경우, 건물을 양수한 제3자는 법정지상권을 취득한다. ",O,저당물의 경매→설정당시 동일인 소유→공동저당 후 신축 X 
법정지상권 ,543,동일인소유의 건물이 있는 토지에만 저당권 설정 후 그 건물을 철거 후 신축한 때 저당권의 실행으로 토지와 건물의 소유자가 달라지게 되면 법정지상권이 발생한다. ,O,저당물의 경매→설정당시 동일인 소유→공동저당 후 신축 X 
법정지상권 ,544,미등기건물과 그 대지 매수인이 대지만 이전등기를 넘겨받고 건물 등기를 이전받지 못하다가 대지에 설정된 저당권 실행으로 대지가 경매되어 제3자 소유로 된 경우에는 법정지상권이 성립될 여지가 없다. ★★,O,"일괄매매 →법정지상권 X, 관습법상 법정지상권 X "
법정지상권 ,545,"乙이 甲소유 토지+건물을 매수하여 토지 등기만 받은 후 토지 저당권 실행으로 토지,건물 소유자가 다를 시, 乙은 법정지상권을 취득한다.  ★★",X,"일괄매매 →법정지상권 X, 관습법상 법정지상권 X "
법정지상권 ,546,저당목적물인 토지에 대하여 법정지상권을 배제하는 저당권설정 당사자 사이의 약정은 효력이 없다. ★,O,"•법정지상권→ 배제특약 X 
•관습법상 법정지상권→ 배제특약O "
법정지상권 ,547,대지상 건물만 매수하면서 대지 임대차계약을 체결하였다면 관습법상의 법정지상권을 포기하였다고 본다. ★ ,O,"•법정지상권→ 배제특약 X 
•관습법상 법정지상권→ 배제특약O "
법정지상권 ,548,"토지와 건물의 소유자가 토지만 타인에게 증여한 후 구 건물을 철거하고 다시 신축하기로 합의한 경우, 관습법상 법정지상권을 포기한 것으로 볼 수 없다. ★",O,"•법정지상권→ 배제특약 X 
•관습법상 법정지상권→ 배제특약O "
법정지상권 ,549,"가압류 후 본압류 및 강제경매가 된 경우, '토지와 건물이 동일인 소유'인지 여부는 매각 대금의 완납시를 기준으로 한다.  ★★",X,•강제경매→ 동일인 소유 판단기준→ 매각대금 완납시 X 
법정지상권 ,550,"가압류 후 본압류 및 강제경매가 된 경우, '토지와 건물이 동일인 소유' 인지 여부는 가압류의 효력 발생시를 기준으로 한다. ",O,•강제경매→ 동일인 소유 판단기준→ 매각대금 완납시 X 
법정지상권 ,551,"토지에 대한 강제경매를 위한 압류 전에 저당권이 설정되어 있는 경우, 토지와 건물이 동일인 소유'인지 여부는 저당권 설정당시를 기준으로 한다. ",O,•강제경매→ 동일인 소유 판단기준→ 매각대금 완납시 X 
법정지상권 ,552,법정지상권자는 건물과 법정지상권을 분리하여 처분할 수 있다. ★★,O,"•법정지상권이 발생한 경우 
*등기 없이도 발생 O
*건물과 법정지상권→ 각각 분리 처분 O
*법정지상권자→등기 X →주장O 
*건물양수인→ 등기O →주장 O 
*건물철거청구 X 
*지료결정 X →소멸청구X 
*지료결정O →소멸청구 O"
법정지상권 ,553,법정지상권자는 그에 관한 등기 없이도 토지소유권을 취득한 선의의 제3자에게 지상권을 주장할 수 있다. ★,O,"•법정지상권이 발생한 경우 
*등기 없이도 발생 O
*건물과 법정지상권→ 각각 분리 처분 O
*법정지상권자→등기 X →주장O 
*건물양수인→ 등기O →주장 O 
*건물철거청구 X 
*지료결정 X →소멸청구X 
*지료결정O →소멸청구 O"
법정지상권 ,554,"법정지상권이 발생한 건물이 양도된 경우, 건물양수인은 지상권 등기 없이도 토지소유자 에게 직접 지상권을 주장할 수 있다.  ★",X,"•법정지상권이 발생한 경우 
*등기 없이도 발생 O
*건물과 법정지상권→ 각각 분리 처분 O
*법정지상권자→등기 X →주장O 
*건물양수인→ 등기O →주장 O 
*건물철거청구 X 
*지료결정 X →소멸청구X 
*지료결정O →소멸청구 O"
법정지상권 ,555,"법정지상권이 발생한 건물이 양도된 경우, 지상권 등기가 없더라도 토지소유자는 건물 양수인에게 건물철거를 청구할 수는 없다. ★★",O,"•법정지상권이 발생한 경우 
*등기 없이도 발생 O
*건물과 법정지상권→ 각각 분리 처분 O
*법정지상권자→등기 X →주장O 
*건물양수인→ 등기O →주장 O 
*건물철거청구 X 
*지료결정 X →소멸청구X 
*지료결정O →소멸청구 O"
법정지상권 ,556,법정지상권의 지료를 정한 바가 없다면 지료연체를 이유로 한 소멸청구를 할 수 없다. ★★,O,"•법정지상권이 발생한 경우 
*등기 없이도 발생 O
*건물과 법정지상권→ 각각 분리 처분 O
*법정지상권자→등기 X →주장O 
*건물양수인→ 등기O →주장 O 
*건물철거청구 X 
*지료결정 X →소멸청구X 
*지료결정O →소멸청구 O"
법정지상권 ,557,"법정지상권의 지료가 판결로 정해진 경우, 지체된 지료가 판결확정의 전후에 걸쳐 2년분 이상일 경우, 토지소유자는 소멸청구를 할 수 있다. ★★",O,"•법정지상권이 발생한 경우 
*등기 없이도 발생 O
*건물과 법정지상권→ 각각 분리 처분 O
*법정지상권자→등기 X →주장O 
*건물양수인→ 등기O →주장 O 
*건물철거청구 X 
*지료결정 X →소멸청구X 
*지료결정O →소멸청구 O"
지역권 ,558,"지역권자는 방해제거청구권 인정되지만, 반환청구권은 인정되지 않는다. ★",O,지역권 →배타적 점유X →지역권에 기한 반환청구 X 
지역권 ,559,소유권에 기한 소유물반환청구권에 관한 규정은 지역권에 준용된다.,X,지역권 →배타적 점유X →지역권에 기한 반환청구 X 
지역권 ,560,일정한 장소를 오랜 시일 통행한 사실이 있다면 통로 개설이 없더라도 지역권을 시효 취득할 수 있다.  ★,X,"•지역권 시효취득 
*계속되고 표현된 경우에 한하여 가능 
통로개설O →통행지역권 시효취득 가능 
*통행지역권을 시효취득→ 승역지 소유자에게 손해 보상O 
*불법점유자 →시효취득 X "
지역권 ,561,통행지역권을 주장하는 사람은 통행으로 편익을 얻는 요역지가 있음을 주장. 증명하여야 한다,O,"•지역권 시효취득 
*계속되고 표현된 경우에 한하여 가능 
통로개설O →통행지역권 시효취득 가능 
*통행지역권을 시효취득→ 승역지 소유자에게 손해 보상O 
*불법점유자 →시효취득 X "
지역권 ,562,"통행지역권을 시효취득하였다면, 요역지 소유자는 도로설치로 인해 승역지 소유자가 입은 손실을 보상하지 않아도 된다.  ★★",X,"•지역권 시효취득 
*계속되고 표현된 경우에 한하여 가능 
통로개설O →통행지역권 시효취득 가능 
*통행지역권을 시효취득→ 승역지 소유자에게 손해 보상O 
*불법점유자 →시효취득 X "
지역권 ,563,요역지의 불법점유자는 지역권을 시효취득할 수 없다. ,O,"•지역권 시효취득 
*계속되고 표현된 경우에 한하여 가능 
통로개설O →통행지역권 시효취득 가능 
*통행지역권을 시효취득→ 승역지 소유자에게 손해 보상O 
*불법점유자 →시효취득 X "
지역권 ,564,"요역지는 한 필의 토지 전부여야 하나, 승역지는 그럴필요가 없다. ★★",O,"•요역지→ 반드시 1필, /승역지 →반드시 1필 X "
지역권 ,565,토지의 일부를 위하여 지역권을 설정할 수 있다.  ★★,X,"•요역지→ 반드시 1필, /승역지 →반드시 1필 X "
지역권 ,566,토지의 일부 위에 지역권을 설정할 수 있다. ★★,O,"•요역지→ 반드시 1필, /승역지 →반드시 1필 X "
지역권 ,567,요역지의 소유권이 양도되면 지역권은 이전되지 않는다.  ★,X,"•지역권의 부종성, 수반성 
*요역지소유권 이전 →지역권 이전 
*요역지와 분리 →지역권만을 양도X. 저당권의 목적 X 
*요역지의 지상권자, 전세권자 →지역권 행사O "
지역권 ,568,요역지와 분리하여 지역권만을 양도할 수 없다. ★★,O,"•지역권의 부종성, 수반성 
*요역지소유권 이전 →지역권 이전 
*요역지와 분리 →지역권만을 양도X. 저당권의 목적 X 
*요역지의 지상권자, 전세권자 →지역권 행사O "
지역권 ,569,지역권은 요역지와 분리하여 저당권의 목적이 될 수 있다.  ★★,X,"•지역권의 부종성, 수반성 
*요역지소유권 이전 →지역권 이전 
*요역지와 분리 →지역권만을 양도X. 저당권의 목적 X 
*요역지의 지상권자, 전세권자 →지역권 행사O "
지역권 ,570,요역지의 전세권자는 특별한 사정이 없으면 지역권을 행사할 수 있다. ,O,"•지역권의 부종성, 수반성 
*요역지소유권 이전 →지역권 이전 
*요역지와 분리 →지역권만을 양도X. 저당권의 목적 X 
*요역지의 지상권자, 전세권자 →지역권 행사O "
지역권 ,571,지상권자는 인접한 토지에 통행지역권을 시효취득할 수 없다.  ,X,"•지역권의 부종성, 수반성 
*요역지소유권 이전 →지역권 이전 
*요역지와 분리 →지역권만을 양도X. 저당권의 목적 X 
*요역지의 지상권자, 전세권자 →지역권 행사O "
지역권 ,572,요역지 공유자 1인이 지역권 취득 시 다른 공유자도 취득한다. ★★  ,O,"•지역권의 불가분성 
*유리한 경우→ 1인에게 생긴 사유→ 효력O 
*불리한 경우→ 전원에게 생긴 사유→ 효력O "
지역권 ,573,요역지 공유자 1인은 토지 지분에 관한 지역권을 소멸시킬 수 없다. ★★,O,"•지역권의 불가분성 
*유리한 경우→ 1인에게 생긴 사유→ 효력O 
*불리한 경우→ 전원에게 생긴 사유→ 효력O "
지역권 ,574,요역지 공유자 중 1인은 자신의 지분만 지역권을 소멸시킬 수 있다 ,X,"•지역권의 불가분성 
*유리한 경우→ 1인에게 생긴 사유→ 효력O 
*불리한 경우→ 전원에게 생긴 사유→ 효력O "
지역권 ,575,요역지 공유자 중 1인에 대한 지역권 소멸시효의 정지는 다른 공유자를 위하여도 그 효력이 있다. ★ ,O,"•지역권의 불가분성 
*유리한 경우→ 1인에게 생긴 사유→ 효력O 
*불리한 경우→ 전원에게 생긴 사유→ 효력O "
지역권 ,576,요역지의 공유자 중 1인에 의한 지역권 소멸시효의 중단은 다른 공유자에게는 효력이 없다.  ,X,"•지역권의 불가분성 
*유리한 경우→ 1인에게 생긴 사유→ 효력O 
*불리한 경우→ 전원에게 생긴 사유→ 효력O "
지역권 ,577,지역권의 취득시효 중단은 지역권을 행사하는 모든 공유자에 대한 사유가 아니면 효력이 없다. ★,O,"•지역권의 불가분성 
*유리한 경우→ 1인에게 생긴 사유→ 효력O 
*불리한 경우→ 전원에게 생긴 사유→ 효력O "
지역권 ,578,"요역지가 수인의 공유인 경우, 그 1인에 대한 지역권 취득시효의 중단은 시효중단의 효력이 있다.  ",X,"•지역권의 불가분성 
*유리한 경우→ 1인에게 생긴 사유→ 효력O 
*불리한 경우→ 전원에게 생긴 사유→ 효력O "
전세권,,채권담보 목적의 전세권을 설정하였더라도 전세권자의 목적 물에 대한 사용수익권을 완전히 배제하는 것이 아니라면 그 효력은 인정된다. ,O,전세권→용익물권적 성질과 담보물권적 성질 
전세권,,전세목적물의 인도는 전세권의 성립요건이 아니다. ,O,전세권→용익물권적 성질과 담보물권적 성질 
전세권,,전세권의 존속기간이 시작되기 전에 마친 전세권설정등기는 특별한 사정이 없는 한 무효로 추정된다.  ★,X,전세권→용익물권적 성질과 담보물권적 성질 
전세권,,전세권 설정계약의 당사자는 전세권의 사용·수익권을 배제하고 채권담보만을 위한 전세권을 설정할 수 있다.  ★,X,전세권→용익물권적 성질과 담보물권적 성질 
전세권,,전세권이 갱신 없이 그 존속기간이 만료되면 전세권의 용익물권적 권능은 전세권설정등기의 말소 없이도 당연히 소멸한다. ★,O,전세권→용익물권적 성질과 담보물권적 성질 
전세권,, 전세권설정시 전세금지급은 전세권의 성립요소이다. ,O,• 전세금→ 기존의 채권으로 갈음O 
전세권,," 전세금의 지급이 전세권의 성립요소이기는 하지만, 기존의 채권으로 전세금의 지급에 갈음 할 수 있다. ★★ ",O,• 전세금→ 기존의 채권으로 갈음O 
전세권,,전세금은 현실적으로 수수되어야 하므로 임차보증금채권으로 전세금의 지급에 갈음할 수 없다.  ,X,• 전세금→ 기존의 채권으로 갈음O 
전세권,,"전세권 존속 중 전세목적물이 양도된 경우, 새로운 소유자가 전세금반환의무를 진다. ★★",O,•소유자가 변경→ 전세금반환의무자는 신소유자 
전세권,,"전세권 성립 후 전세목적물의 소유권이 이전된 경우, 구 소유자는 전세권이 소멸하는 때에 전세권자에 대하여 전세금반환의무를 부담한다.  ",X,•소유자가 변경→ 전세금반환의무자는 신소유자 
전세권,,전세권자가 통상의 필요비를 지출한 경우 그 비용의 상환을 청구하지 못한다. ★★,O,유지수선의무→ 전세권자→ 필요비청구 X 
전세권,,전세권자는 필요비 및 유익비의 상환을 청구할 수 있다.  ,X,유지수선의무→ 전세권자→ 필요비청구 X 
전세권,, 전세권설정자는 특약이 없는 한 목적물의 현상을 유지하고 수선을 해야 한다.  ,X,유지수선의무→ 전세권자→ 필요비청구 X 
전세권,,"전세권의 존속기간을 15년으로 약정한 경우, 그 존속기간은 10년으로 단축된다. ★",O,최장기간→ 10년 
전세권,,"전세권의 존속기간이 만료된 경우, 10년을 넘지 않는 기간으로 전세권을 갱신할 수 있다. ",O,최장기간→ 10년 
전세권,,"전세권의 존속기간을 약정하지 않은 경우, 각 당사자는 언제든지 전세권의 소멸을 통고 할 수 있다. ",O,•존속기간을 약정하지 않은 경우 언제든지→ 소멸통고O 
전세권,,건물전세권 존속기간을 1년 미만으로 정한 때에는 이를 1년으로 한다. ,O,"•건물전세권 적용O, 토지전세권 적용 X
*최단기간(1년) 
*법정갱신기간약정 X →등기 없이도 효력O "
전세권,, 토지전세권의 최단존속기간은 1년이다.  ★,X,"•건물전세권 적용O, 토지전세권 적용 X
*최단기간(1년) 
*법정갱신기간약정 X →등기 없이도 효력O "
전세권,,토지전세권은 법정갱신이 인정되지 않는다. ★,O,"•건물전세권 적용O, 토지전세권 적용 X
*최단기간(1년) 
*법정갱신기간약정 X →등기 없이도 효력O "
전세권,,"건물전세권이 법정갱신된 경우, 그 존속기간은 1년으로 본다.  ★★ ",X,"•건물전세권 적용O, 토지전세권 적용 X
*최단기간(1년) 
*법정갱신기간약정 X →등기 없이도 효력O "
전세권,,"건물전세권이 법정갱신된 경우, 전세권자는 등기 없이도 전세목적물을 취득한 제3자에 대하여 전세권을 주장할 수 있다. ★★",O,"•건물전세권 적용O, 토지전세권 적용 X
*최단기간(1년) 
*법정갱신기간약정 X →등기 없이도 효력O "
전세권,,원전세권자가 소유자 동의없이 전전세를 하면 원전세권은 소멸한다.  ,X,"•전세권 양도 자유 
*소유자 동의 없이 양도, 저당권설정, 전전세, 임대 가능 
*양도금지특약은 가능 "
전세권,,전세권 양도금지특약은 이를 등기하여야 제3자에게 대항할 수 있다. ,O,"•전세권 양도 자유 
*소유자 동의 없이 양도, 저당권설정, 전전세, 임대 가능 
*양도금지특약은 가능 "
전세권,,"타인토지 위에 건물을 신축한 자가 그 건물에 전세권을 설정한 경우, 전세권은 건물소유를 목적으로 하는 토지임차권에도 그 효력이 미친다. ★★",O,"건물 전세권→ 지상권, 토지임차권에 효력O "
전세권,,"타인의 토지에 있는 건물에 전세권을 설정한 경우, 전세권의 효력은 그 건물의 소유를 목적으로 한 지상권에는 미치지 않는다.  ",X,"건물 전세권→ 지상권, 토지임차권에 효력O "
전세권,,"전세권이 소멸된 경우, 전세권자의 전세목적물의 인도는 전세금의 반환보다 선이행되어야 한다.  ",X,•전세권소멸시→ 동시이행관계 
전세권,,"건물의 일부에 전세권이 설정된 경우, 전세권자는 건물 전부에 대하여 후순위권리자보다 전세금의 우선변제를 받을 권리가 있다. ★",O,"•건물의 일부에 대한 전세권 
*건물의 경락대금 전부에 대한 우선변제권O 
*건물 전부에 대한 경매권 X "
전세권,,"건물의 일부에 전세권이 설정된 경우, 전세권자는 전세권의 목적이 된 부분이 독립성이 없다면 건물 전체의 경매를 청구할 수 있다.  ★★ ",X,"•건물의 일부에 대한 전세권 
*건물의 경락대금 전부에 대한 우선변제권O 
*건물 전부에 대한 경매권 X "
전세권,,전세권을 목적으로 한 저당권은 전세권의 존속기간이 만료되더라도 그 전세권 자체에 대하여 저당권을 실행할 수 있다.  ★★,X,"•전세권을 목적으로 저당권이 설정된 후 전세권이 소멸한 경우 
→전세권 자체에 대한 경매 X "
전세권,,"전세권을 목적으로 저당권이 설정된 경우, 전세권의 존속기간이 만료되면 저당권자는 전세금반환채권을 압류하여 물상대위할 수 있다. ",O,"•전세권을 목적으로 저당권이 설정된 후 전세권이 소멸한 경우 
→전세권 자체에 대한 경매 X "
전세권,,"전세권저당권이 설정된 후 전세권이 기간만료로 소멸한 경우, 제3자의 압류가 없으면 전세권설정자는 전세권자에게 전세금을 지급하여야 한다. ",O,"•전세권을 목적으로 저당권이 설정된 후 전세권이 소멸한 경우 
→전세권 자체에 대한 경매 X "
전세권,,전세권이 존속하는 중에 전세권자는 전세권을 그대로 둔 채 전세금반환채권만을 확정적으로 양도하지 못한다. ★,O,•전세금반환채권과 전세권의 분리 양도→전세권소멸을 조건으로 가능 
전세권,,전세권 존속 중이라도 장래에 그 전세권이 소멸하는 경우에 전세금 반환채권이 발생하는 것을 조건으로 그 장래의 조건부 채권을 유효하게 양도할 수 있다. ★,O,•전세금반환채권과 전세권의 분리 양도→전세권소멸을 조건으로 가능 
유치권 ,,"유치권자는 채권의 변제를 받기 위하여 유치물을 경매할 수 있고, 매각대금에서 후순위 권리자보다 우선변제를 받을 수 있다.  ★★ ",X,"•우선변제권 X, 물상대위성 X→ 불가분성O. 경매권 O"
유치권 ,,유치권에는 물상대위성이 인정되지 않는다. ★★,O,"•우선변제권 X, 물상대위성 X→ 불가분성O. 경매권 O"
유치권 ,,"유치물이 소실시, 유치권은 소유자의 화재보험금청구권 위에 미친다. (×) ",X,"•우선변제권 X, 물상대위성 X→ 불가분성O. 경매권 O"
유치권 ,,유치권자는 채권의 변제를 받기 위하여 유치물을 경매할 수 있다. ★,O,"•우선변제권 X, 물상대위성 X→ 불가분성O. 경매권 O"
유치권 ,,유치권의 불가분성은 그 목적물이 분할 가능하거나 수개의 물건인 경우에도 적용된다. ★,O,"•우선변제권 X, 물상대위성 X→ 불가분성O. 경매권 O"
유치권 ,,"유치물이 분할 가능한 경우, 채무자가 피담보채무의 일부를 변제하면 그 범위에서 유치권은 일부 소멸한다.  ",X,"•우선변제권 X, 물상대위성 X→ 불가분성O. 경매권 O"
유치권 ,, 유치권은 법정담보물권이지만 당사자 간의 약정으로 배제할 수 있다.★★,O,법정담보물권→ 임의규정→ 배제특약은 유효 
유치권 ,,유치권은 약정담보물권이므로 당사자의 약정으로 그 성립을 배제할 수 있다.  ,X,법정담보물권→ 임의규정→ 배제특약은 유효 
유치권 ,,"유치권자와 유치물의 소유자 사이에 유치권을 포기하기로 특약한 경우, 제3자는 특약의 효력을 주장할 수 없다.  ★★ ",X,법정담보물권→ 임의규정→ 배제특약은 유효 
유치권 ,,유치권배제특약에 따른 효력은 특약의 상대방만 주장할 수 있다.  ,X,법정담보물권→ 임의규정→ 배제특약은 유효 
유치권 ,,필요비상환채무의 불이행으로 인한 손해배상청구권을 담보하기 위하여 유치권을 행사할 수 있다. ★,O,"•비용상환청구권, 공사대금채권, 수리비채권 →유치권O "
유치권 ,,"채권과 물건 사이에 견련관계가 있더라도, 그 채무불이행으로 인한 손해배상채권과 그 물건 사이의 견련관계는 인정되지 않는다.  ",X,"•비용상환청구권, 공사대금채권, 수리비채권 →유치권O "
유치권 ,,임대차 종료시 임차인은 임대인이 보증금을 반환할 때까지 유치권을 행사할 수 있다.  ★★ ,X,"보증금, 권리금, 매매대금(건축자재대금, 외상대금) → 유치권 X "
유치권 ,,임차인은 권리금반환청구권을 담보하기 위해 임차목적물에 유치권을 행사할 수 없다. ★★,O,"보증금, 권리금, 매매대금(건축자재대금, 외상대금) → 유치권 X "
유치권 ,,"매도인이 매매대금을 다 지급받지 못하고 매수인에게 부동산 소유권을 이전해 준 경우, 매도인은 매매대금채권을 피담보채권으로 하여 자신이 점유하는 부동산의 유치권을 주장할 수 있다.  ★★ ",X,"보증금, 권리금, 매매대금(건축자재대금, 외상대금) → 유치권 X "
유치권 ,,건축자재를 매도한 자는 그 자재로 건축된 건물에 대해 자신의 대금채권을 담보하기 위하여 유치권을 행사할 수 있다.  ★★ ,X,"보증금, 권리금, 매매대금(건축자재대금, 외상대금) → 유치권 X "
유치권 ,,건물 미흡으로 임차인이 건물을 임대차목적대로 사용하지 못함 이유로 하는 손해배상청구권은 그 건물에 관하여 생긴 채권이다.  ★ ,X,"보증금, 권리금, 매매대금(건축자재대금, 외상대금) → 유치권 X "
유치권 ,,"건물신축공사를 도급받은 수급인이 사회통념상 독립한 건물이 되지 못한 정착물을 토지에 설치한 상태에서 공사가 중단된 경우, 수급인은 그 정착물에 대하여 유치권을 행사할 수 없다. ★ ",O,"보증금, 권리금, 매매대금(건축자재대금, 외상대금) → 유치권 X "
유치권 ,,목적물에 관련되어 채권이 발생한 후에 점유를 취득한 경우에도 유치권이 성립한다. ,O,•채권 발생 후 점유를 취득→ 유치권 성립 
유치권 ,,부동산의 일부를 점유한 경우에도 유치권이 성립할 수 있다. ★ ,O,•부동산의 일부에 대한 유치권 
유치권 ,,공사를 완성한 수급인이 다세대주택 중 한 세대를 점유한 경우에도 공사대금채권 전부가 피담보채권으로 유치권에 의하여 담보된다. ,O,•부동산의 일부에 대한 유치권 
유치권 ,,수급인은 특별한 사정이 없으면 그의 비용과 노력으로 완공한 건물에 유치권을 가지지 못한다. ★,O,"•공사대금채권과 유치권 
*도급인 소유→ 유치권O 
*수급인 소유→ 유치권 X "
유치권 ,,수급인은 그가 완공하여 원시취득한 건물에 관하여 도급인으로부터 공사대금을 지급받을 때까지 유치권을 행사할 수 있다.  ,X,"•공사대금채권과 유치권 
*도급인 소유→ 유치권O 
*수급인 소유→ 유치권 X "
유치권 ,,피담보채권이 변제기에 이르지 아니하면 유치권을 행사할 수 없다. ★,O,•채권의 변제기 도래 X →유치권 성립 X 
유치권 ,,"임대차종료 후 법원이 임차인의 유익비상환청구권에 유예기간을 인정한 경우, 임차인은 기간 내에는 임차목적물을 유치할 수 없다. ",O,•채권의 변제기 도래 X →유치권 성립 X 
유치권 ,,"타인의 물건에 대한 점유가 불법행위로 인한 경우, 그 물건에 대한 유치권은 성립하지 않는다. ★",O,•유치권자 →적법한 점유자로 추정O 
유치권 ,,소유자는 물건을 점유하는 제3자가 비용을 지출할 때에 점유권원이 없음을 알았다는 사정 등을 증명하여 비용상환청구권에 기한 유치권의 주장을 배척할 수 있다. ,O,•유치권자 →적법한 점유자로 추정O 
유치권 ,,유치권 주장자는 자신의 점유가 불법점유가 아님을 증명해야 한다.  ,X,•유치권자 →적법한 점유자로 추정O 
유치권 ,,유치권이 인정을 위한 점유는 직접점유이든 간접점유이든 관계없다. ★,O,"•유치권자의 간접점유 
1 제3자를 직접점유로 하는 간접점유 →유치권O 
2 채무자를 직접점유로 하는 간접점유 →유치권 X "
유치권 ,,"유치권자가 제3자와의 점유매개관계에 의해 유치물을 간접점유하는 경우, 유치권은 소멸하지 않는다. ",O,"•유치권자의 간접점유 
1 제3자를 직접점유로 하는 간접점유 →유치권O 
2 채무자를 직접점유로 하는 간접점유 →유치권 X "
유치권 ,,채권자가 채무자를 직접점유자로 하여 간접점유하는 경우에도 유치권은 성립할 수 있다.  ,X,"•유치권자의 간접점유 
1 제3자를 직접점유로 하는 간접점유 →유치권O 
2 채무자를 직접점유로 하는 간접점유 →유치권 X "
유치권 ,,"유치권의 목적부동산이 제3자에게 양도된 경우, 유치권자는 특별한 사정이 없는 한 제3자 에게 유치권을 주장할 수 있다. ",O,•새로운 소유자→ 유치권 행사O. 변제청구 X 
유치권 ,,"유치권이 경락인에게 인수된 경우, 유치권자는 경락인에게 변제를 청구할 수 있다.  ",X,•새로운 소유자→ 유치권 행사O. 변제청구 X 
유치권 ,,경매절차에서 건물에 대한 압류의 효력이 발생한 후에 수급인이 건물의 점유를 이전받은 경우에는 수급인은 유치권을 경락인에게 주장할 수 없다. ,O,•경매개시결정등기(압류효력발생) 후에 성립한 유치권→ 경락인에게 대항X 
유치권 ,,수급인이 경매개시결정등기 전에 건물의 점유를 이전받았다면 경매개시결정등기 후에 공사대금채권을 취득한 경우에도 수급인은 유치권을 경락인에게 주장할 수 있다.  ★,X,•경매개시결정등기(압류효력발생) 후에 성립한 유치권→ 경락인에게 대항X 
유치권 ,,"유치권자가 경매개시결정등기 전에 부동산에 관하여 유치권을 취득하였더라도 그 취득에 앞서 저당권설정등기가 먼저 되어 있었다면, 경매절차의 매수인에게 자기의 유치권으로 대항할 수 없다.  ★",X,•경매개시결정등기(압류효력발생) 후에 성립한 유치권→ 경락인에게 대항X 
유치권 ,,유치권자에게는 원칙적으로 수익목적의 과실수취권은 인정되지 않는다. ,O,"유치권자→ 과실수취권 X, 과실을 수취하여 변제에 충당O "
유치권 ,,유치권자는 유치물의 과실을 수취하여 유치권으로 담보된 채권의 변제에 충당할 수 있다. ★,O,"유치권자→ 과실수취권 X, 과실을 수취하여 변제에 충당O "
유치권 ,,유치권자가 수취한 유치물의 과실은 먼저 피담보채권의 원본에 충당하고 그 잉여가 있으면 이자에 충당한다.  ,X,"유치권자→ 과실수취권 X, 과실을 수취하여 변제에 충당O "
유치권 ,,"유치권자가 유치물인 주택에 거주하며 이를 사용하는 경우, 특별한 사정이 없는 한 채무자는 유치권소멸을 청구할 수 없다. ★",O,•보존에 필요한 사용→ 승낙 없이도 가능→ 부당이득반환O 
유치권 ,,"유치권자는 보존에 필요한 사용은 소유자의 승낙 없이도 할 수 있으므로, 사용이익을 부당이득으로 반환할 의무는 없다.  ★ ",X,•보존에 필요한 사용→ 승낙 없이도 가능→ 부당이득반환O 
유치권 ,,유치권행사는 피담보채권 소멸시효 진행에 영향을 미치지 않는다. ★★,O,•유치권 행사→ 채권의 소멸시효는 진행 
유치권 ,,유치권을 행사하는 동안 채권의 소멸시효가 진행하지 않는다.  ★★ ,X,•유치권 행사→ 채권의 소멸시효는 진행 
유치권 ,,유치물의 소유권자는 채무자가 아니더라도 상당한 담보를 제공하고 유치권의 소멸을 청구할 수 있다. ★★ ,O,•상당한 담보를 제공→ 소멸청구 
유치권 ,,"점유를 침탈당한 유치권자는 점유권에 기한 반환청구권을 행사할 수 있으나, 유치권에 기한 반환청구권은 행사할 수 없다. ",O,•점유를 상실→ 유치권 소멸 
유치권 ,,유치권자가 유치물에 대한 점유를 빼앗긴 경우에도 점유물반환청구권을 보유하고 있다면 점유를 회복하기 전에도 유치권이 인정된다.  ★ ,X,•점유를 상실→ 유치권 소멸 
저당권,,저당권 피담보채권 소멸 후 그 말소등기 전에 피담보채권의 전부명령을 받아 저당권 이전등기가 이루어진 때에도 그 저당권은 효력이 없다. ,O,•채권이 소멸→ 저당권은 말소등기 없이도 소멸 
저당권,,저당권은 그 담보한 채권과 분리하여 타인에게 양도할 수 있다.  ★ ,X,저당권→ 채권과 분리 양도 X 
저당권,,전세권은 저당권의 객체가 될 수 없다.  ,X,"•저당권의 객체 
*지상권O. 전세권O. 지역권 X 
*공유지분O. 부동산의 일부 X "
저당권,,지역권은 요역지와 분리하여 저당권의 목적이 될 수 없다. ★,O,"•저당권의 객체 
*지상권O. 전세권O. 지역권 X 
*공유지분O. 부동산의 일부 X "
저당권,,1필 토지의 일부에 대해서는 저당권이 성립할 수 없다. ★ ,O,"•저당권의 객체 
*지상권O. 전세권O. 지역권 X 
*공유지분O. 부동산의 일부 X "
저당권,,저당권설정자는 채무자에 한하지 않고 제3자도 될 수 있다. ,O,•저당권설정자→ 제3자 O  →물상보증인 
저당권,, 저당목적물의 하자로 인한 손해배상금은 저당권의 피담보채권의 범위에 포함되지 않는다. ,O,"• 저당권의 피담보채권의 범위 
*원본, 이자, 위약금, 실행비용, 1년분의 지연이자 
*1년분의 지연이자→ 채무자에게 적용 X "
